,광고그룹,키워드,노출수,클릭수,"총비용(VAT포함,원)"
0, 디자인 툴_파워컨텐츠_포토샵,-,2319456,9606.0,2512444
1, 업무자동화_VBA,-,767491,8058.0,2384965
2,ㅍAOP 전체_중복키워드_디자인(삭제),일러스트,1137840,324.0,1568699
3, 데이터 분석 입문 온라인_파콘,-,694106,1863.6,1175174
4,3. html,HTML,9626374,813.6,1145903
5,6. 파이썬,파이썬,384522,260.4,964876
6,1. 코딩,코딩,562162,271.2,879560
7,2. C언어 일반,C언어,271370,153.6,809358
8,프로그래밍 전체_파워컨텐츠_블록체인(삭제),가상화폐,91369,2838.0,803770
9,AOP 전체_중복키워드_디자인,포토샵,1887822,393.59999999999997,753247
10,디지털 마케팅 스쿨 13기_대표키워드,마케팅교육,11661,140.4,702229
11,인스타그램 마케팅,인스타팔로워늘리기,36201,873.6,671803
12,블록체인 신사업 시작하기,블록체인,200243,236.39999999999998,643478
13,AOP 전체_중복키워드_비지니스,엑셀,1470452,450.0,633897
14, 업무자동화_VBA,엑셀배우기,18588,2097.6,562870
15, 업무자동화_VBA,엑셀자격증,37558,1770.0,511181
16, 업무자동화_2. 파이썬,파이썬교육,1226,56.4,498069
17, 1인 쇼핑몰 시작하기_00.창업_PC,인터넷쇼핑몰창업,17912,152.4,487696
18, 영상 제작/편집_6.프리미어프로,영상편집,125885,90.0,483032
19,6. 파이썬,파이썬인강,3175,196.79999999999998,478467
20,1. 모바일앱개발_교육,어플개발,8033,84.0,455939
21, UX/UI 디자인 입문_연관검색어,UIUX디자인,9627,118.8,437767
22,1. 코딩,코딩인강,2503,218.4,428670
23,1. 모바일앱개발_교육,앱개발,23962,103.2,411092
24,1. 모바일앱개발_교육,어플제작,6496,79.2,410652
25, 데이터 분석 입문(파컨),-,139717,618.0,393327
26, 디자인 툴_파워컨텐츠_포토샵,포토샵,124068,2535.6,381359
27, 디자인 툴_파워컨텐츠_포토샵,영상편집,10710,278.4,376618
28,1. 모바일앱개발_교육,앱제작,4324,79.2,375023
29, 업무자동화_VBA,컴퓨터활용능력,139729,1534.8,367147
30,인스타그램 마케팅,인스타팔로워,55806,542.4,355663
31,JavaScript BOOT CAMP,자바스크립트,29305,58.8,337766
32, 디자인 툴_파워컨텐츠_포토샵,포토샵배우기,12700,1725.6,337117
33,1. 일반_PC,게임학원,6163,36.0,337051
34,프로그래밍 전체_파워컨텐츠_블록체인(삭제),이더리움,39710,1396.8,334961
35, 데이터 분석 입문 온라인_파콘,머신러닝,22073,931.1999999999999,317779
36,ㅍAOP 전체_중복키워드_디자인(삭제),영상제작,62542,49.199999999999996,316448
37,디지털 마케팅 스쿨 13기_대표키워드,SNS마케팅교육,3378,96.0,312664
38,AOP 전체_중복키워드_공통,데이터사이언스,4336,66.0,305195
39, 업무자동화_VBA,컴퓨터활용능력2급,88751,1282.8,300058
40,AOP 전체_중복키워드_프로그래밍,파이썬강좌,3489,38.4,294085
41,003.퍼포먼스 마케팅,구글광고,6535,70.8,291346
42,2. 프로그래밍,프로그래밍인강,1568,135.6,282480
43, 업무자동화_VBA,컴퓨터활용능력1급,94757,1191.6,282018
44,마케팅 유치원,마케팅교육,9161,105.6,270963
45, 업무자동화_VBA,컴퓨터자격증종류,21458,892.8,267597
46,1. 모바일앱개발_교육,어플만들기,6353,54.0,264704
47, 업무자동화_1. 자동화,업무자동화,11662,49.199999999999996,259655
48,ㅍAOP 전체_중복키워드_디자인(삭제),포토샵,1021846,157.2,255475
49, 브랜딩,브랜딩,35200,98.39999999999999,246543
50,ㅍ 브랜딩,브랜딩,35049,106.8,236962
51, 콘텐츠 마케팅_카피라이팅,상세페이지제작,15835,110.39999999999999,228096
52,AOP 전체_중복키워드_데이터사이언스,데이터사이언스,3860,50.4,218955
53,8. 시스템 프로그래밍,리눅스,281599,86.39999999999999,218647
54,AOP 전체_중복키워드_디자인,포토샵강좌,34653,42.0,214720
55,1. 코딩,코딩프로그램,15300,82.8,211387
56,ㅍ UX/UI 디자인 입문_연관검색어(삭제),UIUX디자인,6216,73.2,210991
57, 프로그래밍 첫걸음 시작하기,-,88800,598.8,210650
58,AOP 전체_중복키워드_디자인,프리미어프로,213033,132.0,207702
59,페이스북&인스타그램 마케팅 실전,SNS마케팅교육,1215,78.0,206877
60, 디자인 툴_파워컨텐츠_포토샵,일러스트레이터,37912,754.8,203841
61,Python & Django를 활용한 웹 서비스_개발자,스프링,90942,68.39999999999999,202290
62,5. 자료구조,자료구조,38812,46.8,202037
63,ㅍ 브랜딩,브랜드네이밍,5038,87.6,201861
64,fin_camp_auction_6,경매,65170,204.0,200211
65, 1인 쇼핑몰_00.창업_MO,인터넷쇼핑몰창업,1691,54.0,199375
66, 1인 쇼핑몰 시작하기_00.창업_PC,온라인쇼핑몰창업,7263,79.2,197571
67,AOP 전체_중복키워드_비지니스,엑셀강의,11848,69.6,197076
68,003.퍼포먼스 마케팅,온라인마케팅교육,2681,73.2,193864
69, 업무자동화_2. 파이썬,파이썬강의,1405,39.6,188287
70,타이포그래피와 편집디자인,폰트,478588,474.0,187693
71, 디지털 마케팅_1. 디지털 마케팅,온라인마케팅교육,4712,54.0,186846
72,AOP 전체_중복키워드_마케팅,온라인마케팅,25645,43.199999999999996,185493
73,1. 모바일앱개발_교육,어플제작비용,1786,69.6,184646
74,fin_camp_auction_6,부동산경매,5087,50.4,181742
75,마케터를 위한 데이터 부트캠프,퍼포먼스마케팅,5131,55.199999999999996,180774
76,코딩으로 여행하는 블록체인 서비스,블록체인,82524,82.8,176946
77,2. C언어 일반,C++,17190,37.199999999999996,173129
78,1. 일반_PC,게임만드는프로그램,4908,39.6,171138
79,AOP 전체_중복키워드_비지니스,엑셀배우기,23329,69.6,162349
80,AOP 전체_중복키워드_마케팅,마케팅,152716,110.39999999999999,160556
81,1. 모바일앱개발_교육,앱만들기,4722,52.8,155804
82,AOP 전체_중복키워드_디자인,스케치,200487,133.2,155254
83,프로그래밍 전체_파워컨텐츠_블록체인(삭제),블록체인,64981,2798.4,154748
84,AOP 전체_중복키워드_디자인,영상제작,47189,28.799999999999997,153692
85, 1인 쇼핑몰 시작하기_02.쇼핑몰구축,쇼핑몰제작,10656,38.4,149468
86, 업무자동화_VBA,컴퓨터자격증,20796,476.4,147774
87,AOP 전체_중복키워드_디자인,에프터이펙트,60248,31.2,145530
88,1. 모바일앱개발_교육,어플리케이션제작,1229,26.4,144694
89,AOP 전체_중복키워드_디자인,일러스트,101109,34.8,144430
90,상업용 부동산 실무 입문 4기,강남빌딩매매,11028,32.4,141647
91, 디자인 툴_파워컨텐츠_포토샵,웹디자인,3889,106.8,140448
92, 디지털 마케팅_1. 디지털 마케팅,디지털마케팅,25573,43.199999999999996,139788
93,AOP 전체_중복키워드_디자인,포토샵강의,8190,46.8,137137
94,포토샵 유치원_일러스트레이터 유치원,포토샵,691814,129.6,136279
95, 디자인 툴_파워컨텐츠_포토샵,포토샵자격증,18602,1059.6,132748
96,고객의 마음을 읽는 구글애널리틱스,구글애널리틱스자격증,6196,90.0,132352
97,왕초보의 파이썬 웹 프로그래밍 CAMP,PYTHON,22657,36.0,127908
98,페이스북&인스타그램 마케팅 실전,페이스북광고,2794,49.199999999999996,127061
99, 콘텐츠 마케팅_영상바이럴,유튜브마케팅,44369,61.199999999999996,125851
100, 업무자동화_VBA,엑셀학원,4873,452.4,125785
101,1. 일반_PC,게임제작,35802,25.2,122221
102,fin_camp_auction_6,부동산투자,10660,18.0,122111
103, 콘텐츠 마케팅_영상바이럴,홍보영상,110768,48.0,120692
104,마케팅KPI수립,마케팅전략,9688,32.4,116446
105,AOP 전체_중복키워드_디자인,인디자인,108188,43.199999999999996,115390
106,6. 파이썬,PYTHON,72065,30.0,113509
107,프로그래밍 유치원,홈페이지만들기,5620,28.799999999999997,109813
108, 1인 쇼핑몰 시작하기_00.창업_PC,B2B사이트,3030,67.2,108405
109,JavaScript BOOT CAMP,JAVASCRIPT,6243,25.2,106172
110,ㅍAOP 전체_중복키워드_프로그래밍(삭제),파이썬강좌,2415,18.0,105765
111,페이스북&인스타그램 마케팅 실전,인스타그램광고,3726,42.0,105655
112,#000_마케팅 전체_main,마케팅,207265,116.39999999999999,104676
113, 콘텐츠 마케팅_영상바이럴,동영상제작,5388,36.0,104302
114,SEO/SEM 전략,SEO,6624,33.6,104049
115, 투자_파워콘텐츠,재테크,4810,300.0,102894
116, 1인 쇼핑몰 시작하기_00.창업_PC,쇼핑몰창업,23301,32.4,101728
117, 1인 쇼핑몰 시작하기_00.창업_PC,인터넷쇼핑몰,37930,85.2,101101
118,1. 일반_PC,게임프로그래밍학원,1174,13.2,100826
119,2. 프로그래밍,프로그래밍,68689,34.8,100419
120,상업용 부동산 실무 입문 4기,서울빌딩매매,1826,31.2,100166
121, 업무자동화_VBA,MOS자격증,42228,295.2,99110
122,ㅍAOP 전체_중복키워드_공통(삭제),데이터사이언스,3974,25.2,98835
123,1. 일반_PC,모바일게임제작,2244,20.4,98549
124, 콘텐츠 마케팅_영상바이럴,영상촬영,109005,45.6,98527
125,AOP 전체_중복키워드_비지니스,엑셀학원,1559,26.4,98153
126, 업무자동화_VBA,컴활1급,34497,379.2,97702
127, 콘텐츠 마케팅_대표키워드,유튜브크리에이터,47874,37.199999999999996,97416
128, 파이썬 웹 개발_2.프론트엔드기초,HTML,913844,80.39999999999999,95964
129, 디자인 툴_파워컨텐츠_포토샵,에프터이펙트,20104,242.39999999999998,95469
130, 업무자동화_4. VBA,엑셀VBA,38927,70.8,93665
131, 디자인 툴_파워컨텐츠_포토샵,포토샵학원,4188,186.0,93621
132, 금융공학/퀀트_01.파이썬기본&자동화,데이터베이스,152389,31.2,93269
133,타이포그래피와 편집디자인,글씨체,106648,216.0,91806
134, 디자인 툴_파워컨텐츠_포토샵,영상편집학원,2779,80.39999999999999,90805
135,TensorFlow로 시작하는 딥러닝 입문,텐서플로우,11409,78.0,90475
